track,lat,lon
338_138_0,48.148986,17.063242
338_138_0,48.148835,17.06338
338_138_0,48.148725,17.063501
338_138_0,48.14863,17.06363
338_138_0,48.148578,17.06371
338_138_0,48.148513,17.063832
338_138_0,48.148453,17.063949
338_138_0,48.148326,17.064198
338_138_0,48.148278,17.064319
338_138_0,48.148246,17.064426
338_138_0,48.148215,17.064543
338_138_0,48.148202,17.064599
338_138_0,48.148192,17.064658
338_138_0,48.148178,17.06478
338_138_0,48.148175,17.065152
338_138_0,48.148174,17.06551
338_138_0,48.148171,17.066033
338_138_0,48.14817,17.066266
338_138_0,48.148166,17.06779
338_138_0,48.148156,17.069058
338_138_0,48.148141,17.070099
338_138_0,48.148124,17.070506
338_138_0,48.148114,17.070717
338_138_0,48.148095,17.070962
338_138_0,48.147987,17.072417
338_138_0,48.147953,17.073332
338_138_0,48.147937,17.073631
338_138_0,48.147909,17.073911
338_138_0,48.14788,17.074126
338_138_0,48.147839,17.074312
338_138_0,48.147773,17.074534
338_138_0,48.147687,17.074801
338_138_0,48.14767,17.074847
338_138_0,48.147616,17.074961
338_138_0,48.147549,17.075086
338_138_0,48.147481,17.075202
338_138_0,48.147359,17.075366
338_138_0,48.147221,17.075528
338_138_0,48.146848,17.075856
338_138_0,48.146727,17.075961
338_138_0,48.146717,17.076008
338_138_0,48.146677,17.076085
338_138_0,48.146665,17.076173
338_138_0,48.146662,17.076207
338_138_0,48.146662,17.076233
338_138_0,48.146663,17.076289
338_138_0,48.146768,17.076218
338_138_0,48.147005,17.076047
338_138_0,48.147151,17.075897
338_138_0,48.147285,17.07576
338_138_0,48.14735,17.075682
338_138_0,48.147414,17.075602
338_138_0,48.147474,17.07552
338_138_0,48.147532,17.075433
338_138_0,48.14763,17.075269
338_138_0,48.147713,17.075122
338_138_0,48.147785,17.074965
338_138_0,48.147856,17.074784
338_138_0,48.147913,17.074618
338_138_0,48.147968,17.074434
338_138_0,48.148015,17.074253
338_138_0,48.148063,17.074026
338_138_0,48.148101,17.073813
338_138_0,48.148128,17.073619
338_138_0,48.148174,17.073241
338_138_0,48.148262,17.071972
338_138_0,48.148272,17.071619
338_138_0,48.148288,17.070894
338_138_0,48.148291,17.07078
